RecordId,SuspectsRaceAsAGroup,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
CA00-0000027975,White,Shopping Mall,Anti-Islamic (Muslim),Religion
CA00-0000027976,Unknown,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027977,Black or African American,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000027978,Black or African American,Highway/Road/Alley/Street,Anti-Islamic (Muslim),Religion
CA00-0000027979,Asian/Pacific Islander,Government/Public Building,Anti-White,Race/Ethnicity/Ancestry
CA00-0000027980,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000027981,White,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000027982,White,Jail/Prison,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027983,Unknown,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000027984,Hispanic,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027985,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
