record_id,suspects_race_as_a_group,most_serious_location,most_serious_bias,most_serious_bias_type
CA01-0000001850,Unknown,Commercial/Office Building,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000001859,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001872,Unknown,Residence/Home/Driveway,Anti-Lesbian,Sexual Orientation
CA01-0000001882,Black or African American,Field/Woods/Park,Anti-White,Race/Ethnicity/Ancestry
CA01-0000001890,White,Construction Site,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000001894,White,Air/Bus/Train Terminal,Anti-Gay (Male),Sexual Orientation
CA01-0000001901,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA01-0000001914,Unknown,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
220015368,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
220154182,Unknown,Community Center,Anti-Jewish,Religion
220317192,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
220429361,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
220692938,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
220862266,White,Highway/Road/Alley/Street,Anti-Jewish,Religion
230119922,White,Highway/Road/Alley/Street,Anti-Jewish,Religion
230161161,White,Highway/Road/Alley/Street,Anti-Jewish,Religion
230396277,Unknown,Bar/Night Club,Anti-Lesbian/Gay/Bisexual/Transgender,Sexual Orientation
230443709,Black or African American,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
230559572,White,Hotel/Motel/etc.,Anti-Asian,Race/Ethnicity/Ancestry
230717322,Unknown,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
230738588,Unknown,Government/Public Building,Anti-Jewish,Religion
